"CASEID","D104","D108","D111","V012","V024","V025","V131","V149","V136","V190","V155","S119"
"      003502001  2",NA,NA,NA,34,1,2,4,4,6,1,2,4
"      003502201  1",NA,NA,NA,39,1,2,4,5,1,1,2,4
"      003502301  2",0,0,0,38,1,2,4,0,7,1,0,4
"      003502301  6",NA,NA,NA,17,1,2,4,3,7,1,2,4
"      003502401  1",NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA
"      003504501  1",0,0,0,28,1,2,4,3,7,1,2,4
"      003504601  2",NA,NA,NA,39,1,2,4,1,7,1,0,4
"      003504601  3",NA,NA,NA,15,1,2,4,3,7,1,2,4
"      003504701  2",0,0,0,27,1,2,4,4,5,1,2,4
"      003504801  2",NA,NA,NA,39,1,2,4,3,5,1,2,4
"      003504801  3",NA,NA,NA,18,1,2,4,4,5,1,2,4
"      003505001  2",0,0,0,35,1,2,4,4,3,1,2,4
"      003505001  3",NA,NA,NA,13,1,2,4,3,3,1,2,4
"      003508901  2",0,0,0,25,1,2,4,3,5,1,2,4
"      003509601  2",0,0,0,27,1,2,4,3,4,1,2,4
"      003603601  2",NA,NA,NA,43,1,2,10,5,6,2,2,10
"      003603601  4",0,0,0,20,1,2,10,5,6,2,2,10
"      003603701  2",0,1,1,43,1,2,10,1,2,1,2,10
"      003603901  2",0,0,1,42,1,2,10,3,6,2,2,10
"      003603901  5",NA,NA,NA,15,1,2,10,3,6,2,2,10
"      003605401  2",0,0,0,26,1,2,10,4,2,1,2,10
"      003605701  2",0,0,0,33,1,2,10,0,6,1,0,10
"      003605701  3",NA,NA,NA,16,1,2,10,3,6,1,2,10
"      003609401  2",0,0,0,23,1,2,4,2,3,1,2,4
"      003609501  2",0,0,0,36,1,2,10,4,4,1,2,10
"      003609601  2",0,0,0,36,1,2,10,3,4,1,2,10
"      003701701  2",0,0,0,32,1,2,10,2,4,1,1,10
"      003701801  2",0,0,0,37,1,2,10,5,3,1,2,10
"      003701901  2",1,0,1,36,1,2,10,2,5,1,2,10
"      003702101  2",0,0,0,47,1,2,10,1,4,1,2,10
"      003704701  3",NA,NA,NA,14,1,2,10,3,4,1,2,10
"      003705001  1",NA,NA,NA,20,1,2,10,4,2,1,2,10
"      003705101  1",1,1,1,49,1,2,10,2,4,1,2,10
"      003705201  2",1,1,0,22,1,2,10,3,4,1,2,10
"      003706201  1",NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA
"      003706201  3",NA,NA,NA,13,1,2,4,3,8,1,2,4
"      003706201  6",0,0,0,17,1,2,4,3,8,1,2,4
"      003706501  2",0,0,0,44,1,2,4,2,8,1,2,4
"      003706501  5",NA,NA,NA,14,1,2,4,3,8,1,2,4
"      003706601  4",NA,NA,NA,14,1,2,4,2,6,1,2,4
"      003803501  2",0,0,0,29,1,2,10,2,4,1,2,10
"      003803601  1",1,0,0,49,1,2,10,1,2,1,1,10
"      003803901  2",0,0,0,28,1,2,10,2,3,1,2,10
"      003804201  1",0,0,0,37,1,2,10,3,2,1,2,10
"      003804201  2",NA,NA,NA,14,1,2,10,3,2,1,2,10
"      003809801  2",0,0,0,38,1,2,10,4,4,1,2,10
"      003809901  3",NA,NA,NA,32,1,2,10,2,3,1,0,10
"      003810801  1",NA,NA,NA,37,1,2,10,2,2,1,1,10
"      003811001  3",NA,NA,NA,22,1,2,10,5,4,1,2,10
"      003811001  4",NA,NA,NA,20,1,2,10,5,4,1,2,10
"      003811101  4",1,0,1,23,1,2,10,4,6,1,2,10
"      003901701  2",0,0,0,25,1,2,10,2,3,1,2,10
"      003901901  2",0,0,0,46,1,2,10,1,6,1,2,10
"      003902501  1",0,0,0,49,1,2,10,1,2,2,2,10
"      003905301  2",1,1,0,37,1,2,10,2,3,1,2,10
"      003905301  3",NA,NA,NA,13,1,2,10,3,3,1,2,10
"      003905501  2",0,0,0,33,1,2,10,4,5,2,2,10
"      003905601  2",NA,NA,NA,24,1,2,10,1,3,1,0,10
"      003911401  2",0,0,0,33,1,2,10,1,4,1,0,10
"      003911601  2",0,0,0,19,1,2,10,3,3,1,2,10
"      004001001  2",0,0,0,30,1,2,10,2,7,1,2,10
"      004007901  3",NA,NA,NA,21,1,2,10,4,4,1,2,10
"      004008001  4",NA,NA,NA,20,1,2,10,5,9,1,2,10
"      004008001  6",1,1,1,22,1,2,10,3,9,1,2,10
"      004008401  2",0,0,0,40,1,2,10,1,3,1,0,10
"      004008501  2",0,0,0,35,1,2,10,2,5,1,2,10
